year,year_ending,active_mpesa_accounts,total_transactions,total_value_kes,agents,merchants,pochi,revenue_mpesa_kes,total_revenue_kes
2015,2015-03-31,"13,900,000.00",NA,NA,"85,800.00","49,400.00",0.00,"32,630,000,000.00","163,360,000,000.00"
2016,2016-03-31,"16,600,000.00",NA,NA,"100,700.00","44,000.00",0.00,"41,500,000,000.00","195,690,000,000.00"
2017,2017-03-31,"19,000,000.00",NA,NA,"130,000.00","50,000.00",0.00,"55,080,000,000.00","212,890,000,000.00"
2018,2018-03-31,"20,500,000.00",NA,NA,"156,000.00","101,000.00",0.00,"62,910,000,000.00","233,720,000,000.00"
2019,2019-03-31,"22,600,000.00",NA,NA,"167,000.00","123,000.00",0.00,"74,990,000,000.00","250,960,000,000.00"
2020,2020-03-31,"24,900,000.00","9,000,000,000.00","14,000,000,000,000.00","173,000.00","173,000.00",0.00,"84,440,000,000.00","262,560,000,000.00"
2021,2021-03-31,"28,300,000.00","11,680,000,000.00","22,040,000,000,000.00","247,900.00","301,600.00",NA,"82,650,000,000.00","250,350,000,000.00"
2022,2022-03-31,"30,500,000.00","15,750,000,000.00","29,550,000,000,000.00","262,000.00","492,800.00",NA,"107,690,000,000.00","281,110,000,000.00"
2023,2023-03-31,"32,100,000.00","21,030,000,000.00","35,860,000,000,000.00","262,300.00","602,700.00","292,600.00","117,190,000,000.00","295,690,000,000.00"
2024,2024-03-31,"32,400,000.00","28,330,000,000.00","40,240,000,000,000.00","262,000.00","633,000.00","632,700.00","139,910,000,000.00","331,550,000,000.00"
2025,2025-03-31,"35,800,000.00","37,150,000,000.00","38,290,000,000,000.00","298,900.00","675,900.00","1,149,600.00","161,130,000,000.00","364,280,000,000.00"